brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,total_macronutrients,sugar_carb_ratio,saturated_fat_ratio,fiber_carb_ratio,protein_energy_pct,carb_energy_pct,fat_energy_pct,macronutrient_balance
Danone,Maroc,1.5 l,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté","Vegetarian, Vegan",a,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ain atlas,Morocco,33cl,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",Green Dot,a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidi Ali,Maroc,50 cl,Eaux minérales naturelles,"Point Vert,en:Maroc",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0065,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Marmite,Unilever","France,Germany,Ireland,Italy,Netherlands,Spain,United Kingdom,United States",250g,Yeast extract spreads,"Vegetarian,Halal,Vegan,European Vegetarian Union,European Vegetarian Union Vegan,Halal Food Authority,Vitamin B source",e,unknown,4.0,260.0,0.5,0.1,30.0,1.2,2.9,20.75,2.3499999999999996,0.9400000000000001,51.25,0.04,0.2,0.09666666666666666,31.92307692307692,46.15384615384615,1.7307692307692308,33.833333333333336
Jaouda,Maroc,80 g,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","Vegetarian, Vegan",a,b,1.0,101.0,6.0,0.0,4.2,0.0,0.0,7.6,0.0,0.0,17.799999999999997,0.0,0.0,0.0,30.099009900990097,16.633663366336634,53.46534653465347,1.6857142857142857
lilia,"Morocco,United States",200 g,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters","Vegetarian, Vegan",d,e,4.0,675.0,52.0,14.55,0.2,0.0,0.0,0.1,0.5,0.2,52.300000000000004,0.0,0.2798076923076923,0.0,0.05925925925925926,0.11851851851851852,69.33333333333334,0.0056603773584905665
pepsi,Maroc,"1,5l","Eaux,Eaux de table","Vegetarian, Vegan",b,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States",300 g,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Sandwich biscuits","Distributor labels,Charte LU Harmony,Triman",e,d,4.0,465.0,17.5,5.5,70.0,31.112499999999997,4.0,6.5,0.5,0.2,94.0,0.4444642857142857,0.3142857142857143,0.05714285714285714,5.591397849462366,60.215053763440864,33.87096774193548,4.135135135135135
Lindt,"Algérie,Autriche,Belgique,Bulgarie,Canada,République tchèque,Finlande,France,Polynésie française,Allemagne,Irlande,Italie,Maurice,Maroc,Pays-Bas,Norvège,La Réunion,Roumanie,Singapour,Espagne,Suède,Suisse,Tunisie,Royaume-Uni",100 g,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolats noirs extra fin","Point Vert,Triman",e,e,3.0,592.0,52.0,14.55,14.0,7.0,0.0,10.0,0.03,0.012,76.0,0.5,0.2798076923076923,0.0,6.756756756756757,9.45945945945946,79.05405405405406,0.4528301886792453
Les eaux minérales d'Oulmès S.A.,Maroc,1L,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses","ISO 22000,ISO 14001,ISO 45001,ISO 9001,Co2 naturel",a,not-applicable,4.0,280.0,7.02,1.5,18.0,4.2,2.9,6.2,0.0784,0.0314,31.22,0.23333333333333334,0.2136752136752137,0.1611111111111111,8.857142857142858,25.71428571428571,22.564285714285713,3.0174563591022445
Ferrero,"Algérie,Belgique,Bulgarie,France,Allemagne,Guadeloupe,Inde,Italie,Luxembourg,Martinique,Maroc,La Réunion,Espagne,Suisse,Tunisie,Royaume-Uni,États-Unis",1 kg,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao","Sans gluten,Végétarien,Sans conservateurs,Sans colorants,Sans matière grasse hydrogénée,Triman",e,unknown,4.0,539.0,30.9,10.6,57.5,31.112499999999997,2.9,6.3,0.107,0.0428,94.7,0.5410869565217391,0.343042071197411,0.050434782608695654,4.675324675324675,42.67161410018553,51.59554730983302,2.0
Coca cola,Marocco,1L,"en:Beverages and beverages preparations,الأطعمة والمشروبات النباتية,en:Beverages,en:Plant-based beverages,en:Fruit-based beverages,en:Juices and nectars,en:orange-based-beverages,عصائر,Drinks","Vegetarian, Vegan",e,b,4.0,39.0,0.0,0.0,9.3,17.0,5.0,0.0,0.126,0.0504,9.3,1.0,0.0,0.5376344086021505,0.0,95.38461538461539,0.0,9.3
bimo,Morocco,22 g,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao",fr:Tonik,e,b,2.0,504.0,22.2,10.9,71.7,31.112499999999997,0.435,4.35,0.217,0.087,98.25,0.43392608089260803,0.490990990990991,0.006066945606694561,3.452380952380952,56.904761904761905,39.64285714285714,3.2780172413793105
Hacendado,Maroc,80 g,Baking powder or raising agent,Halal,not-applicable,c,4.0,183.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,94.86338797814207,0.0,43.4
Danone,"Maroc,États-Unis",0.33 L,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerblé,"Belgium, Bulgaria, France, en:switzerland",230g,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","No preservatives, Made in France, Natural flavors, No colorings, No palm oil, Nutriscore, Nutriscore Grade B, Triman, en:green-dot",c,c,4.0,467.0,18.0,2.0,64.0,17.0,4.6,10.0,0.38,0.152,92.0,0.265625,0.1111111111111111,0.071875,8.565310492505352,54.81798715203426,34.68950749464668,3.8947368421052633
Délicia,Maroc,430 g,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises","No preservatives, en:100-natural",unknown,b,3.0,250.0,0.3,1.5,61.33,31.112499999999997,2.9,0.5,0.39,0.156,62.129999999999995,0.5072965922060981,1.0,0.04728517854231208,0.8,98.12799999999999,1.0799999999999998,47.56153846153846
Eau minérale naturelle des Montagnes d'Atlas,Maroc,5L,"Boissons,Eaux,Eaux de sources,Eaux minérales","Vegetarian, Vegan",a,not-applicable,4.0,280.0,7.02,1.5,18.0,4.2,2.9,6.2,0.0,0.0,31.22,0.23333333333333334,0.2136752136752137,0.1611111111111111,8.857142857142858,25.71428571428571,22.564285714285713,3.0174563591022445
Jaouda,"Maroc,en:morocco",110 g,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures","Vegetarian, Vegan",b,b,3.0,78.5,3.3,2.4,8.0,0.0,0.0,4.2,0.0,0.0,15.5,0.0,0.7272727272727273,0.0,21.40127388535032,40.76433121019109,37.8343949044586,2.8372093023255816
Eau minérale naturelle,Maroc,1.5 L,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.12,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Star,Maroc,280ml 17 dh,"Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries","Vegetarian, Vegan",d,d,4.0,592.0,52.0,9.8,0.22,0.05,2.9,1.12,1.75,0.7,53.339999999999996,0.2272727272727273,0.18846153846153849,1.0,0.7567567567567568,0.14864864864864866,79.05405405405406,0.025283018867924528
Jason's,"Ireland,United Kingdom,United States",580 g,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sourdough-bread","Vegetarian,Vegan,Great Taste",b,unknown,3.0,230.0,0.8,0.1,44.1,2.4,2.9,10.1,0.905,0.362,55.0,0.05442176870748299,0.125,0.06575963718820861,17.565217391304348,76.69565217391305,3.130434782608696,30.11111111111111
Coca-Cola,"Австрия,Бельгия,Болгария,Хорватия,Франция,Германия,Венгрия,Марокко,Польша,Румыния,Сербия,Испания,Швейцария,Великобритания,Казахстан",0.5l,"en:Beverages and beverages preparations,Напитки,Газированные напитки,Газированные безалкагольные напитки,Безалкогольные напитки,en:Colas,Напитки с добавлением сахара",en:Made in Swiss,e,not-applicable,4.0,45.2,0.0,0.0,11.2,11.2,0.0,0.0,0.0,0.0,11.2,1.0,0.0,0.0,0.0,99.1150442477876,0.0,11.2
aïn Saiss,Maroc,5 L,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles","Vegetarian, Vegan",a,not-applicable,1.0,280.0,7.02,1.5,18.0,4.2,2.9,6.2,0.002,0.0008,31.22,0.23333333333333334,0.2136752136752137,0.1611111111111111,8.857142857142858,25.71428571428571,22.564285714285713,3.0174563591022445
J.D. Gross,"Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",125g,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","Vegetarian,Fair trade,Fairtrade International,No artificial flavors,Vegan,Fairtrade cocoa,FSC,FSC Mix,Max Havelaar",d,d,4.0,600.0,48.0,14.55,36.0,12.0,9.05,12.0,0.0,0.0,96.0,0.3333333333333333,0.30312500000000003,0.2513888888888889,8.0,24.0,72.0,0.9795918367346939
Cristaline,"Belgique,Côte d'Ivoire,France,Allemagne,Luxembourg,Mali,Martinique,Russie,Suisse,Royaume-Uni",500 ml,"Boissons et préparations de boissons,Boissons,Snacks,Eaux,Eaux de sources","Triman,Sans Nitrates",a,not-applicable,1.0,0.0,0.0,0.0,0.0,4.2,2.9,6.2,0.00476,0.001904,6.2,0.0,0.0,0.0,0.0,0.0,0.0,6.2
"Nutella,Ferrero","Belgique,France,Allemagne,Inde,Italie,Luxembourg,Maroc,Pays-Bas,Philippines,Pologne,Roumanie,Espagne,Suisse,Turquie,Royaume-Uni,États-Unis",400 g,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes","Végétarien,Sans gluten,Sans conservateurs,Sans matière grasse hydrogénée,Triman",e,e,4.0,539.0,30.9,10.6,57.5,31.112499999999997,0.0,6.3,0.107,0.0428,94.7,0.5410869565217391,0.343042071197411,0.0,4.675324675324675,42.67161410018553,51.59554730983302,2.0
Jason's Sourdough,en:gb,450 g,"Plant-based foods and beverages,Plant-based foods,Breads,Sourdough-bread","Vegetarian,No artificial flavors,No artificial preservatives,Vegan",b,unknown,3.0,237.0,0.7,0.1,46.4,2.1,3.0,9.7,0.7875,0.315,56.8,0.04525862068965517,0.14285714285714288,0.06465517241379311,16.371308016877638,78.31223628691984,2.6582278481012658,33.0
JASONS SOURDOUGH,gb,580 g,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Vegan,Vegetarian","Vegan,Vegetarian",a,a,3.0,237.0,2.7,0.3,40.2,1.4,4.7,10.7,0.89,0.356,53.60000000000001,0.03482587064676616,0.1111111111111111,0.11691542288557213,18.059071729957804,67.84810126582279,10.253164556962027,13.756756756756758
la Hollandaise,"Morocco, en:united-states",24 336g,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices",agrément sanitaire MA,d,d,4.0,270.0,21.0,12.0,6.0,6.0,2.9,9.0,1.5,0.6,36.0,1.0,0.5714285714285714,0.48333333333333334,13.333333333333334,8.88888888888889,70.0,0.6818181818181818
"Alesto, Lidl","Bélgica,Bulgaria,República Checa,Francia,Alemania,Grecia,Hungría,Polonia,Portugal,Rumania,Eslovenia,España,Suiza,Reino Unido",200g,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, en:almonds","Vegetariano,Vegano,Unión Vegetariana Europea,Unión Vegetariana y vegana Europea,Nutriscore,Nutriscore A,Triman",a,d,1.0,621.0,52.0,4.3,4.8,4.8,9.05,20.75,0.002,0.0008,77.55,1.0,0.08269230769230769,1.0,13.365539452495975,3.0917874396135265,75.36231884057972,0.4820754716981132
Star,Maroc,400g,"Condiments, Salts, Table salts, Groceries, fr:sels-fins","Vegetarian, Vegan",not-applicable,a,2.0,280.0,0.0,0.0,0.0,0.0,0.0,6.2,2.3499999999999996,0.9400000000000001,6.2,0.0,0.0,0.0,8.857142857142858,0.0,0.0,6.2
Star,Morocco,310,"en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries",en:no-gluten,c,b,4.0,108.0,0.08,0.0,25.7,22.36,0.0,1.12,0.00555,0.00222,26.9,0.8700389105058366,0.0,0.0,4.148148148148149,95.18518518518519,0.6666666666666666,24.833333333333332
COSUMAR,"Morocco, en:united-states",1 kg 1000 g,"en:Sweeteners, en:Sugars","Vegetarian, Vegan",e,a,4.0,400.0,0.0,0.0,100.0,31.112499999999997,0.0,0.0,0.0,0.0,100.0,0.311125,0.0,0.0,0.0,100.0,0.0,100.0
"Alesto, 05 x Lidl 10.25","Austria,Belgium,Croatia,France,Germany,Hungary,Italy,Poland,Spain,Sweden,Switzerland,United Kingdom",200g,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Cashew nuts","Low or no salt,Vegetarian,Source of proteins,Vegan,European Vegetarian Union,European Vegetarian Union Vegan,Green Dot,Magnesium source,No added salt,No palm oil,Rich in unsaturated fatty acids",b,d,4.0,600.0,47.6,9.0,19.8,6.5,5.2,20.5,0.02,0.008,87.9,0.3282828282828283,0.18907563025210083,0.26262626262626265,13.666666666666666,13.200000000000001,71.4,0.8292181069958847
Ferrero,"República Checa,Dinamarca,Estónia,Finlândia,França,Alemanha,Itália,Letónia,Lituânia,Noruega,Polónia,Portugal,Espanha,Suécia,Reino Unido",350 g,"Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau","Vegetariano,Sem glúten,Sem conservantes,Ponto Verde,Sem corantes,Sem gorduras hidrogenadas,Triman",e,d,4.0,539.0,30.9,10.6,57.5,31.112499999999997,2.9,6.3,0.107,0.0428,94.7,0.5410869565217391,0.343042071197411,0.050434782608695654,4.675324675324675,42.67161410018553,51.59554730983302,2.0
Henry's,Maroc,42g,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits","Vegetarian, Vegan",e,c,4.0,440.0,10.8235,5.2941,76.4706,24.2353,2.3529,7.6471,0.882353,0.3529412,94.9412,0.31692310508875304,0.48913013350579765,0.030768687574048062,6.951909090909091,69.51872727272728,22.13897727272727,7.114450035945364
Danone,Morocco,110 g,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts","Vegetarian, Vegan",c,b,4.0,95.5,2.7,1.8,14.0,8.0,2.0,3.4,0.0,0.0,20.099999999999998,0.5714285714285714,0.6666666666666666,0.14285714285714285,14.24083769633508,58.63874345549738,25.445026178010473,4.702702702702702
Salim,Morocco,1 l,"Dairies,Milks",No gluten,unknown,c,1.0,58.0,3.0,2.0,4.8,4.2,2.9,3.0,0.39,0.156,10.8,0.8750000000000001,0.6666666666666666,0.6041666666666666,20.689655172413794,33.10344827586207,46.55172413793103,1.95
Coca-Cola,"Belgio,Croazia,Cipro,Francia,Germania,Grecia,Ungheria,Italia,Serbia,Spagna,Svizzera",330 ml,"Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate","Prodotto in Francia,Triman,Povratna naknada",e,not-applicable,4.0,42.0,0.0,0.0,10.6,10.6,2.9,0.0,0.0,0.0,10.6,1.0,0.0,0.27358490566037735,0.0,100.0,0.0,10.6
jaouda,Maroc,110g,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts","Vegetarian, Vegan",a,b,4.0,109.0,3.0,0.4,16.9,2.0,2.9,3.6,0.0,0.0,23.5,0.1183431952662722,0.13333333333333333,0.1715976331360947,13.211009174311927,62.0183486238532,24.770642201834864,5.125
nutella,"Austria,Bélgica,Bulgaria,Francia,Alemania,Hungría,Italia,Marruecos,Portugal,Rumania,España,Suiza,Reino Unido",200 g,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Untables,Untables vegetales,Untables dulces,fr:Pâtes à tartiner,Cremas a base de avellanas,Cremas de chocolate,Cremas de cacao y avellanas","Sin gluten,Punto Verde,Triman",e,e,4.0,539.0,30.9,10.6,57.5,31.112499999999997,2.9,6.3,0.107,0.0428,94.7,0.5410869565217391,0.343042071197411,0.050434782608695654,4.675324675324675,42.67161410018553,51.59554730983302,2.0
THE COCA-COLA COMPANY,Maroc,1 l,"Boissons,Eaux,Boissons sans alcool",Halal,b,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciel,"Italy,Morocco",33cl,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.13,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maruja,"Algeria,Cameroon,France,Morocco,Spain",150 g,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food","Green Dot,Made in Spain,Ce",e,unknown,4.0,539.0,33.0,14.55,53.0,31.112499999999997,2.9,7.2,0.275,0.11,93.2,0.5870283018867924,0.4409090909090909,0.05471698113207547,5.343228200371057,39.332096474953616,55.10204081632652,1.7705882352941178
عين سايس,Maroc,500 g,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",Point Vert,a,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Original,en:Morocco,1 kg,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses","Vegetarian, Vegan",a,d,3.0,257.0,18.0,0.0,3.1,0.0,0.0,10.0,0.0,0.0,31.1,0.0,0.0,0.0,15.56420233463035,4.824902723735409,63.035019455252915,0.6894736842105263
Lurpak,United Kingdom,400g,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters",Vegetarian,e,d,2.0,706.0,52.0,14.55,0.6,0.6,2.9,0.5,0.885,0.354,53.1,1.0,0.2798076923076923,1.0,0.28328611898017,0.33994334277620397,66.28895184135978,0.020754716981132078
BAHIA,Maroc,5 litres,"boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux","Vegetarian, Vegan",b,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oulmès,Maroc,50cl,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales gazeuses","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green & Black's,"France,Irlande,Suède,Royaume-Uni",90g,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum","Commerce équitable,Bio,Végétarien,Bio européen,Fairtrade International,Végétalien,PL-EKO-07,en:Soil Association Organic,The Vegan Society,en:Commerce équitable",e,d,3.0,580.0,42.0,14.55,36.0,29.0,9.05,9.1,0.01,0.004,87.1,0.8055555555555556,0.3464285714285714,0.2513888888888889,6.275862068965517,24.82758620689655,65.17241379310344,1.0488372093023257
jibal,Morocco,160 g,Chees,"Vegetarian, Vegan",d,unknown,4.0,138.0,11.5,7.7,6.14,3.5,2.9,2.5,0.8,0.32,20.14,0.5700325732899023,0.6695652173913044,0.4723127035830619,7.246376811594203,17.797101449275363,75.0,0.6912
Excelo,Morocco,500 g,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies",Green Dot,e,c,4.0,483.0,24.0,12.0,61.5,31.112499999999997,2.9,5.2,0.27,0.108,90.7,0.5058943089430894,0.5,0.04715447154471544,4.3064182194616984,50.931677018633536,44.72049689440994,2.668
Nescafé,"Algérie,France,Maroc",45 g (25 dh),"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble","Vegetarian, Vegan",unknown,b,4.0,267.0,0.5,0.2,34.0,3.7,9.05,8.0,0.025,0.01,42.5,0.10882352941176471,0.4,0.2661764705882353,11.985018726591761,50.936329588014985,1.6853932584269662,28.0
Danone,Morocco,165 g,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented dairy desserts with fruits,Fermented milk drinks,Yogurts,Fruit yogurts,Yogurt drinks","Vegetarian, Vegan",e,e,4.0,72.0,1.7,1.1,12.4,9.0,0.0,1.9,0.0,0.0,16.0,0.7258064516129032,0.6470588235294118,0.0,10.555555555555555,68.88888888888889,21.25,5.296296296296296
Aïn lfrane,Maroc,"1,5 l","Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",Tidy man,a,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3e-06,1.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
